Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
28,Harrison Barnes\barneha02,PF,27,SAC,48,1676,12.9,.561,.325,.373,2.8,13.0,7.8,8.7,0.8,0.4,8.6,17.9,,2.1,0.8,2.9,.083,,-0.6,-1.3,-1.9,0.0
29,RJ Barrett\barrerj01,SG,19,NYK,41,1281,10.5,.470,.268,.345,3.5,14.5,8.8,12.2,1.6,1.2,12.8,23.3,,-1.3,0.8,-0.5,-0.020,,-3.3,-0.7,-4.0,-0.7
30,Will Barton\bartowi01,SF,29,DEN,46,1537,15.9,.539,.368,.182,4.8,16.5,10.6,16.5,1.7,1.4,9.4,19.8,,2.0,1.9,3.9,.122,,0.9,0.9,1.8,1.5
31,Keita Bates-Diop\bateske01,SF,24,MIN,35,630,12.9,.538,.453,.320,3.4,14.9,8.9,6.8,1.2,2.6,5.7,16.1,,0.6,0.5,1.1,.087,,-1.9,-0.4,-2.2,0.0
32,Nicolas Batum\batumni01,SF,31,CHO,22,505,9.2,.463,.605,.123,5.2,16.9,10.8,18.3,1.7,1.4,20.5,9.3,,0.2,0.4,0.5,.052,,-2.7,1.2,-1.4,0.1
33,Aron Baynes\baynear01,C,33,PHO,33,756,15.2,.582,.423,.205,7.7,20.3,13.9,12.5,0.4,2.2,10.7,20.4,,1.1,0.6,1.8,.113,,0.6,-0.4,0.2,0.4
34,Kent Bazemore\bazemke01,SF,30,POR,43,1111,7.6,.475,.525,.221,1.2,14.5,7.9,7.2,1.9,2.3,14.4,15.9,,-0.9,0.9,0.0,-0.002,,-3.2,0.7,-2.5,-0.1
35,Kent Bazemore\bazemke01,SG,30,SAC,5,93,9.7,.512,.400,.467,5.9,17.5,11.5,4.6,2.6,1.0,16.2,20.2,,-0.1,0.1,0.1,.026,,-4.2,-1.0,-5.2,-0.1
36,Kent Bazemore\bazemke01,SF-SG,30,TOT,48,1204,7.8,.479,.514,.242,1.6,14.7,8.2,7.0,2.0,2.2,14.5,16.2,,-1.0,1.0,0.0,.000,,-3.2,0.5,-2.7,-0.2
37,Darius Bazley\bazleda01,PF,19,OKC,50,873,8.0,.474,.438,.192,2.6,20.8,12.0,4.5,1.0,3.3,14.1,13.9,,-0.8,1.2,0.4,.020,,-5.0,1.2,-3.8,-0.4
38,Bradley Beal\bealbr01,SG,26,WAS,40,1419,22.6,.576,.369,.366,3.0,11.1,6.9,29.7,1.2,0.8,11.5,32.9,,3.5,-0.1,3.4,.116,,5.2,-3.4,1.8,1.4
39,Malik Beasley\beaslma01,SG,23,DEN,39,698,10.3,.512,.527,.123,1.4,10.0,5.7,8.6,2.1,0.8,10.7,20.2,,-0.1,0.8,0.6,.043,,-2.0,-1.4,-3.4,-0.2
40,Marco Belinelli\belinma01,SG,33,SAS,42,642,9.6,.502,.535,.173,0.5,11.2,5.9,11.6,0.6,0.0,5.4,17.3,,0.3,0.1,0.4,.029,,-1.3,-3.5,-4.7,-0.4
