,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID,CFPARAMS,season
0,1610612737,Atlanta Hawks,56,15,41,0.268,2713.0,0.512,0.257,0.159,0.265,0.541,0.302,0.147,0.294,2,28,29,28,2,24,15,29,14,24,29,13,28,10,Atlanta Hawks,2019-20
1,1610612738,Boston Celtics,54,38,16,0.704,2607.0,0.532,0.256,0.137,0.28,0.508,0.279,0.153,0.267,17,4,4,4,21,12,17,9,10,5,24,5,12,10,Boston Celtics,2019-20
2,1610612751,Brooklyn Nets,53,25,28,0.472,2574.0,0.516,0.264,0.152,0.281,0.505,0.237,0.126,0.266,27,15,15,15,28,23,11,25,9,4,8,26,11,10,Brooklyn Nets,2019-20
3,1610612766,Charlotte Hornets,54,18,36,0.333,2612.0,0.503,0.249,0.152,0.281,0.548,0.208,0.149,0.295,17,25,23,24,20,27,22,24,8,27,1,11,30,10,Charlotte Hornets,2019-20
4,1610612741,Chicago Bulls,55,19,36,0.345,2655.0,0.511,0.236,0.152,0.261,0.543,0.302,0.178,0.275,4,23,23,23,11,25,25,26,21,26,30,1,21,10,Chicago Bulls,2019-20
5,1610612739,Cleveland Cavaliers,54,14,40,0.259,2607.0,0.517,0.22,0.165,0.297,0.56,0.215,0.128,0.261,17,29,28,29,21,22,29,30,3,30,3,25,8,10,Cleveland Cavaliers,2019-20
6,1610612742,Dallas Mavericks,55,33,22,0.6,2655.0,0.546,0.261,0.125,0.281,0.519,0.231,0.12,0.265,4,11,11,11,11,4,14,2,7,11,6,30,10,10,Dallas Mavericks,2019-20
7,1610612743,Denver Nuggets,55,38,17,0.691,2670.0,0.526,0.233,0.135,0.299,0.522,0.254,0.145,0.271,4,4,5,5,4,19,26,7,1,14,14,14,18,10,Denver Nuggets,2019-20
8,1610612765,Detroit Pistons,57,19,38,0.333,2761.0,0.53,0.264,0.156,0.277,0.536,0.232,0.143,0.284,1,23,26,24,1,14,12,28,11,20,7,16,25,10,Detroit Pistons,2019-20
9,1610612744,Golden State Warriors,55,12,43,0.218,2665.0,0.492,0.265,0.144,0.255,0.55,0.24,0.156,0.281,4,30,30,30,5,30,10,14,26,28,10,3,23,10,Golden State Warriors,2019-20
10,1610612745,Houston Rockets,54,34,20,0.63,2602.0,0.535,0.291,0.139,0.264,0.529,0.249,0.15,0.278,17,9,9,9,23,9,2,10,17,17,12,10,22,10,Houston Rockets,2019-20
11,1610612754,Indiana Pacers,55,32,23,0.582,2660.0,0.535,0.215,0.129,0.245,0.513,0.249,0.145,0.281,4,13,13,13,7,8,30,5,27,8,13,15,24,10,Indiana Pacers,2019-20
12,1610612746,LA Clippers,55,37,18,0.673,2655.0,0.529,0.289,0.145,0.284,0.504,0.275,0.139,0.267,4,6,6,6,11,15,3,16,5,3,21,21,13,10,LA Clippers,2019-20
13,1610612747,Los Angeles Lakers,53,41,12,0.774,2554.0,0.552,0.268,0.15,0.289,0.512,0.256,0.153,0.265,27,2,2,2,29,3,8,22,4,7,15,6,9,10,Los Angeles Lakers,2019-20
14,1610612763,Memphis Grizzlies,54,28,26,0.519,2597.0,0.533,0.228,0.146,0.262,0.523,0.277,0.142,0.273,17,14,14,14,24,10,27,17,20,15,23,18,20,10,Memphis Grizzlies,2019-20
15,1610612748,Miami Heat,54,35,19,0.648,2632.0,0.545,0.297,0.149,0.264,0.518,0.265,0.135,0.241,17,8,8,8,17,5,1,21,16,10,17,23,2,10,Miami Heat,2019-20
16,1610612749,Milwaukee Bucks,54,46,8,0.852,2597.0,0.556,0.268,0.139,0.244,0.485,0.218,0.134,0.228,17,1,1,1,24,1,7,11,28,1,5,24,1,10,Milwaukee Bucks,2019-20
17,1610612750,Minnesota Timberwolves,53,16,37,0.302,2584.0,0.509,0.277,0.148,0.27,0.533,0.276,0.148,0.269,27,27,25,27,27,26,5,19,13,19,22,12,14,10,Minnesota Timberwolves,2019-20
18,1610612740,New Orleans Pelicans,55,23,32,0.418,2665.0,0.537,0.25,0.153,0.283,0.531,0.272,0.137,0.27,4,18,19,19,5,6,20,27,6,18,19,22,16,10,New Orleans Pelicans,2019-20
19,1610612752,New York Knicks,55,17,38,0.309,2660.0,0.495,0.255,0.143,0.297,0.542,0.297,0.141,0.256,4,26,26,26,7,28,18,13,2,25,28,19,7,10,New York Knicks,2019-20
20,1610612760,Oklahoma City Thunder,55,33,22,0.6,2660.0,0.533,0.288,0.136,0.242,0.52,0.208,0.14,0.27,4,11,11,11,7,11,4,8,29,12,2,20,17,10,Oklahoma City Thunder,2019-20
21,1610612753,Orlando Magic,55,24,31,0.436,2645.0,0.494,0.249,0.129,0.265,0.527,0.217,0.152,0.255,4,17,16,17,16,29,23,4,15,16,4,7,6,10,Orlando Magic,2019-20
22,1610612755,Philadelphia 76ers,55,34,21,0.618,2650.0,0.528,0.253,0.146,0.277,0.515,0.285,0.142,0.242,4,9,10,10,15,17,19,18,12,9,26,17,3,10,Philadelphia 76ers,2019-20
23,1610612756,Phoenix Suns,55,22,33,0.4,2655.0,0.525,0.273,0.144,0.257,0.539,0.282,0.156,0.272,4,20,20,20,11,20,6,15,25,22,25,4,19,10,Phoenix Suns,2019-20
24,1610612757,Portland Trail Blazers,56,25,31,0.446,2698.0,0.525,0.238,0.126,0.263,0.52,0.267,0.124,0.292,2,15,16,16,3,21,24,3,19,13,18,28,27,10,Portland Trail Blazers,2019-20
25,1610612758,Sacramento Kings,54,21,33,0.389,2622.0,0.527,0.222,0.148,0.26,0.541,0.274,0.152,0.27,17,21,20,21,18,18,28,20,22,23,20,8,15,10,Sacramento Kings,2019-20
26,1610612759,San Antonio Spurs,54,23,31,0.426,2622.0,0.53,0.256,0.123,0.235,0.539,0.245,0.124,0.249,17,18,16,18,18,13,16,1,30,21,11,27,4,10,San Antonio Spurs,2019-20
27,1610612761,Toronto Raptors,55,40,15,0.727,2660.0,0.537,0.249,0.142,0.26,0.503,0.257,0.168,0.29,4,3,3,3,7,7,21,12,23,2,16,2,26,10,Toronto Raptors,2019-20
28,1610612762,Utah Jazz,54,36,18,0.667,2597.0,0.552,0.267,0.151,0.259,0.51,0.237,0.122,0.249,17,7,6,7,24,2,9,23,24,6,9,29,5,10,Utah Jazz,2019-20
29,1610612764,Washington Wizards,53,20,33,0.377,2554.0,0.529,0.262,0.134,0.263,0.554,0.292,0.15,0.295,27,22,20,22,29,16,13,6,18,29,27,9,29,10,Washington Wizards,2019-20
