,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID,CFPARAMS,season
27,1610612761,Toronto Raptors,82,48,34,0.585,3991.0,0.498,0.306,0.151,0.312,0.493,0.315,0.159,0.299,1,11,11,11,2,15,6,11,9,10,26,7,19,10,Toronto Raptors,2013-14
28,1610612762,Utah Jazz,82,25,57,0.305,3956.0,0.484,0.271,0.158,0.297,0.518,0.293,0.136,0.292,1,26,26,26,22,22,17,19,15,26,17,29,15,10,Utah Jazz,2013-14
29,1610612764,Washington Wizards,82,44,38,0.537,4011.0,0.506,0.248,0.153,0.286,0.504,0.288,0.167,0.281,1,14,14,14,1,11,26,14,21,15,14,5,7,10,Washington Wizards,2013-14
0,1610612737,Atlanta Hawks,82,60,22,0.732,3946.0,0.527,0.259,0.15,0.264,0.492,0.242,0.169,0.303,1,2,2,2,26,3,21,17,30,13,3,3,22,10,Atlanta Hawks,2014-15
1,1610612738,Boston Celtics,82,40,42,0.488,3976.0,0.489,0.233,0.142,0.289,0.494,0.275,0.155,0.29,1,16,16,16,8,22,28,6,15,15,15,11,16,10,Boston Celtics,2014-15
2,1610612751,Brooklyn Nets,82,38,44,0.463,3986.0,0.491,0.267,0.146,0.278,0.506,0.253,0.146,0.299,1,18,18,18,3,18,16,13,23,25,9,20,19,10,Brooklyn Nets,2014-15
3,1610612766,Charlotte Hornets,82,33,49,0.402,3981.0,0.456,0.269,0.126,0.27,0.487,0.244,0.133,0.254,1,22,22,22,6,30,15,1,27,9,5,26,1,10,Charlotte Hornets,2014-15
4,1610612741,Chicago Bulls,82,50,32,0.61,3976.0,0.489,0.304,0.147,0.312,0.473,0.242,0.129,0.291,1,9,9,9,8,21,5,15,5,2,4,29,17,10,Chicago Bulls,2014-15
5,1610612739,Cleveland Cavaliers,82,53,29,0.646,3956.0,0.52,0.287,0.152,0.311,0.502,0.238,0.142,0.289,1,7,7,7,23,4,10,19,6,19,1,22,15,10,Cleveland Cavaliers,2014-15
6,1610612742,Dallas Mavericks,82,50,32,0.61,3976.0,0.515,0.262,0.133,0.269,0.503,0.271,0.167,0.319,1,9,9,9,8,6,19,3,28,21,14,4,30,10,Dallas Mavericks,2014-15
